MovieName,MovieYear,Top Four Movies
14. Inception,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
11. Forrest Gump,Robert Zemeckis,"Back to the Future,Forrest Gump,Contact,Flight"
13. Fight Club,David Fincher,"Se7en,Zodiac,Gone Girl,The Social Network"
9. The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
8. Pulp Fiction,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
"10. Il Buono, Il Brutto, Il Cattivo",Sergio Leone,"Once Upon a Time in America,Fistful of Dynamite,A Fistful of Dollars,C'era Una Volta Il West"
1. The Shawshank Redemption,Frank Darabont,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead"
3. The Dark Knight,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
7. The Lord of the Rings: The Return of the King,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
28. The Green Mile,Frank Darabont,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead"
6. Schindler's List,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
2. The Godfather,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather,The Godfather: Part II"
4. The Godfather: Part II,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather,The Godfather: Part II"
12. The Lord of the Rings: The Two Towers,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
249. Dances with Wolves,Kevin Costner,"The Postman,Dances with Wolves,Robin Hood: Prince of Thieves,The Bodyguard"
5. 12 Angry Men,Sidney Lumet,"12 Angry Men,Before the Devil Knows You're Dead,Serpico,Dog Day Afternoon"
29. Terminator 2: Judgment Day,James Cameron,"Avatar: The Way of Water,Avatar,Alien 2,Titanic"
"250. Paris, Texas",Wim Wenders,"Wings of Desire,Perfect Days,Paris, Texas,Bis ans Ende der Welt"
248. Aladdin,Ron Clements,"Hercules,Aladdin,The Princess and the Frog,Moana"
247. It Happened One Night,Frank Capra,"It's a Wonderful Life,It Happened One Night,You Can't Take It with You,Mr. Smith Goes to Washington"
246. The Help,Tate Taylor,"Get on Up,The Help,The Girl on the Train,Ma"
244. Cool Hand Luke,Stuart Rosenberg,"Cool Hand Luke,Question 7,The Defenders,The Amityville Horror"
243. Rebecca,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
240. La battaglia di Algeri,Gillo Pontecorvo,"La battaglia di Algeri,Ogro,Kapò,Burn!"
245. The Iron Giant,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
239. The Grapes of Wrath,John Ford,"The Man Who Didn't Talk Too Much,The Grapes of Wrath,How Green Was My Valley,Stagecoach"
242. Amores perros,Alejandro G. Iñárritu,"Biutiful,The Revenant,Birdman or (The Unexpected Virtue of Ignorance),Babel"
236. My Father and My Son,Çagan Irmak,"My Father and My Son,Alone,Ulak,Dedemin Insanlari"
238. To Be or Not to Be,Ernst Lubitsch,"To Be or Not to Be,The Shop Around the Corner,Heaven Can Wait,The Patriot"
233. Hachi: A Dog's Tale,Lasse Hallström,"What's Eating Gilbert Grape,Chocolat,Mitt liv som hund,The Cider House Rules"
241. Groundhog Day,Harold Ramis,"Ghostbusters,Groundhog Day,Stripes,Knocked Up"
234. Ah-ga-ssi,Park Chan-wook,"Ah-ga-ssi,Oldeuboi,Decision to Leave,Bakjwi"
235. Into the Wild,Sean Penn,"Mystic River,21 Grams,Milk,Dead Man Walking"
232. The Incredibles,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
229. Network,Sidney Lumet,"12 Angry Men,Before the Devil Knows You're Dead,Serpico,Dog Day Afternoon"
230. Stand by Me,Rob Reiner,"All in the Family,Spinal Tap,The Wolf of Wall Street,The Story of Us"
231. The Wizard of Oz,Victor Fleming,"Gone with the Wind,The Wizard of Oz,Captains Courageous,A Guy Named Joe"
237. The Sound of Music,Robert Wise,"West Side Story,The Sound of Music,The Andromeda Strain,The Haunting"
228. Jai Bhim,T.J. Gnanavel,"Jai Bhim,Kootathil Oruthan,Vettaiyan,Payanam"
226. Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Rango,Pirates of the Caribbean: The Curse of the Black Pearl,A Cure for Wellness,The Lone Ranger"
224. The Best Years of Our Lives,William Wyler,"The Best Years of Our Lives,Ben-Hur,Roman Holiday,The Big Country"
227. Rush,Ron Howard,"Arrested Development,A Beautiful Mind,The Shootist,Apollo 13"
220. The Terminator,James Cameron,"Avatar: The Way of Water,Avatar,Alien 2,Titanic"
222. Before Sunset,Richard Linklater,"Waking Life,Before Midnight,Boyhood,A Scanner Darkly"
221. La passion de Jeanne d'Arc,Carl Theodor Dreyer,"Gertrud,Vampyr,Ordet,La passion de Jeanne d'Arc"
223. La haine,Mathieu Kassovitz,"Le fabuleux destin d'Amélie Poulain,La haine,The Fifth Element,Crimson Rivers"
225. The Exorcist,William Friedkin,"To Live and Die in L.A.,The French Connection,The Exorcist,Cruising"
217. Spotlight,Tom McCarthy,"The Station Agent,Win Win,The Visitor,Spotlight"
218. Hotel Rwanda,Terry George,"Hotel Rwanda,In the Name of the Father,Some Mother's Son,The Promise"
216. Logan,James Mangold,"Logan,Ford v. Ferrari,Walk the Line,Indiana Jones and the Dial of Destiny"
212. Room,Lenny Abrahamson,"Room,Frank,Normal People,Adam & Paul"
215. Rocky,John G. Avildsen,"Rocky,Rocky V,The Karate Kid Part III,The Karate Kid"
214. Det Sjunde Inseglet,Ingmar Bergman,"Smultronstället,Fanny Och Alexander,Det Sjunde Inseglet,Cries & Whispers"
213. Tokyo Story,Yasujirô Ozu,"Tokyo Story,Banshun,Bakushû,Akibiyori"
219. Platoon,Oliver Stone,"JFK,Platoon,Natural Born Killers,Born on the Fourth of July"
211. The Big Lebowski,Joel Coen,"The Ballad of Buster Scruggs,The Tragedy of Macbeth,Inside Llewyn Davis,A Serious Man"
209. Ratatouille,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
208. Mr. Smith Goes to Washington,Frank Capra,"It's a Wonderful Life,It Happened One Night,You Can't Take It with You,Mr. Smith Goes to Washington"
210. Ford v. Ferrari,James Mangold,"Logan,Ford v. Ferrari,Walk the Line,Indiana Jones and the Dial of Destiny"
203. Smultronstället,Ingmar Bergman,"Smultronstället,Fanny Och Alexander,Det Sjunde Inseglet,Cries & Whispers"
205. Jaws,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
206. How to Train Your Dragon,Dean DeBlois,"Lilo & Stitch,How to Train Your Dragon,How to Train Your Dragon 2,How to Train Your Dragon: The Hidden World"
204. Le Salaire De La Peur,Henri-Georges Clouzot,"Le Salaire De La Peur,Les diaboliques,Manon,Quai des Orfèvres"
"200. Monsters, Inc.",Pete Docter,"Up,Inside Out,Soul,WALL·E"
196. The General,Clyde Bruckman,"The General,Sherlock Jr.,The Navigator,Our Hospitality"
202. The Third Man,Carol Reed,"The Third Man,Oliver!,The Fallen Idol,Odd Man Out"
198. Relatos Salvajes,Damián Szifron,"Relatos Salvajes,Misanthrope,Los Simuladores,El fondo del mar"
201. Sherlock Jr.,Buster Keaton,"The General,The Navigator,Sherlock Jr.,Seven Chances"
197. The Deer Hunter,Michael Cimino,"The Deer Hunter,Silent Running,Heaven's Gate,Year of the Dragon"
207. Mary and Max,Adam Elliot,"Mary and Max,Harvie Krumpet,Brother,Cousin"
199. Mad Max: Fury Road,George Miller,"Mad Max: Fury Road,The Road Warrior,Mad Max,Happy Feet"
194. Dead Poets Society,Peter Weir,"Master and Commander: The Far Side of the World,The Way Back,Witness,Dead Poets Society"
195. On the Waterfront,Elia Kazan,"On the Waterfront,East of Eden,A Streetcar Named Desire,Anatolian Smile"
193. In the Name of the Father,Jim Sheridan,"In America,In the Name of the Father,My Left Foot: The Story of Christy Brown,Brothers"
189. Gone Girl,David Fincher,"Se7en,Zodiac,Gone Girl,The Social Network"
192. Salinui Chueok,Bong Joon Ho,"Snowpiercer,Okja,Parasite,Madeo"
191. The Gold Rush,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
186. Ben-Hur,William Wyler,"The Best Years of Our Lives,Ben-Hur,Roman Holiday,The Big Country"
188. Barry Lyndon,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
